artist_lower,album_lower,Spotify Album ID
lorcan ward,scythe of the reaper,52FZanjzQvWaQhEJu0RTtW
thanatotic desire,the thanatron,1Ooilwy7yUDWGR2IAtMu7L
ofermod,drakonian elitism,2V6zn2w3WygL8IVcaqoMXW
locus amoenus,'t gloem heil,2W04K3UTktd5VyQ3XheCET
overlorde,awaken the fury,6bBkT4stAglz67QNZH9L9G
baltum,aeternum vale,36aWRPTZjKbvpBjKobBlsL
jvlkvlt,worshipping darkness,4SWFzhJGbJvCGgmg357vR9
lestrange,only for the dead to see (demo versions),2qOYap69BqNPKsm2zO2zrd
the last king,ancient master,4fwzjVXzHApXurTPs9jBBI
nemophila,odyssey,0ADfbr8bXhhRUnEkTbsVRE
heureka,rauhnächte,7ICUGxGdOngfbk6YjzPgPh
djefvul,into the water,5cyiBwRjrRnRsNVyX0u4tT
derangement,welcome to the void,2rHnaxgwO5455MRR8OV9Hh
outland hill,dodecahedron,2ODkls16UDy08cTPAhht0i
iconvict,sophisticated cuisine,3Vhrmtve2RM9YaOPICVh3Q
species,live at 2kola,7i0OQKXkGHP4fdwdmiWa3z
nightrider,into the future,4sQCgSuLvhSlQ6839VQBzv
chapel floods,365,7zflpVGKWyKF6EI8nQ3ZHA
amnio,the entropy within our hearts,3RoaO5BnrT3qZh7azEs4EJ
a different cloud,vardøger,56H4eDXa8Nhqjh3bp2a3jE
blindfold,journey towards nothing,0BokXIURkX7yCKciNQXbvs
slumdweller,serpent city,3ZfnjMWuyXb1JntufyyVWH
sorrowful knight,a holiday in the winter kingdom,4kPr8R4wj3y0j8ABcg4SsA
siculicidium,20 years of resistance,4qGKoJTiL5OPVZd8qbbvqK
symphony of slaughter,distorted realities,3G2LukmpBfDu715Gd70ZoR
exitium sui,endless/regression,6noaTSEADNEk9Mp3TreZJw
berith,aeturnus,1xiQad1Y7z2cGpERmgR4Eb
dead deceased,suspiria,3O47p7k9TivxzDsIlUrmv7
vargerkron,endless sleep,5ZwtY06rY8JMsPW0pyDrx2
berceuse,ostatnia zima,1cESJuih0B13IajfzO0WXh
pellek,christmas by the fjords,7eBlnjuAPXZQuzazMiAKua
eldfaerd,i sjöormens skugga,6Mu20lVim9xYmG1eQfwYSY
dissociation,now that the clouds have darkened...,4yN7aY1mhJuCdJF3QyHzRF
ethical void,schadenfreude,4xrw7k91WJiTWa3dIx8NQx
riff through time,dim the sun light the moon,2vupFTLCkKi9PYvuzID0Tz
savior of death,clockwork,3Zz7gXgFWr1WjRhnsur4uJ
outlying,november,0ROJ5U6hRshGnnURpoexVP
пламя в нас,суеверие,3nxPNVlfOfH55pd8eQ3ofY
eisenherz,spinner,39MLe1YOzpbIMsjdOtV6GE
rages of sin,saligia 2.1,0yWEJ7fATLNbtBpHUgcHMF
withdraw,two faces of darkness,01AoQSNzaOcghw83bHg6b0
coma,el pasado me pertenece mañana,70qejbuJXz17j4gVoenD3S
the way we are,the fate of the antagonist,1p5PuZ49ImJ5xujxZ3iO6S
reaper scythe,incarnation of emptiness,7MWvqyWLwwjpXAjDQtdXAA
voldakh,песок,10O8AsdWEYcJdMwWMHgw6g
pannox,the dawn,5SEpUbIlQOVakYKFmPEpQJ
unshine,hjul,7mTtCjVQTm9nvjsWdZvYmF
mafia,primal,2mMdxx6hKvwY4gWMXQ58cz
born from pain,echoes of pain,0PfRUzfgaTYm7hotopgSgF
pestilength,neerv,4PXO72ggFwxAoUntJ9OgnF
shattered hourglass,greenwa$h,7r21iVRokaGuZ9Ku8gXgT6
stadaconé,hunt hunt hunt,74sjrwmjUd095GVSpHB0fX
entoria,česká sven,18i2by4ph3ac1qmGfdQpCt
r.o.t.w.l.c.f.t.s.c.b.m.h.,this a mothafuckin' split,0xCkKmbT5C1Sswjy3QvLlx
the black spade,on the steps of varanasi,3CvFkrBNqq5gz02iIfSUmQ
quiete,fragile,09kjHYHMqUxGYrqyvnpsbX
all will know,trickle down,50PVUCPhHyyNJ3zUMoQOxF
darkest moral,blossom,7gV4MFr49ZLweIM9UYQsnk
deathisfaction,blackened reign,5cOnXoqxW9e9w7ZUwODdeO
rivers like veins,architektura przemijania,1fHsC4fVGgp1hy90dAsgc7
norman invasion,the invasion begins... (demo),6WND7wheq0QP7N2xPE8Ec8
mortuorum,necro path,5nqMhmeiJJewtlhd4D8Wbi
porous,burn brightest!,5S1jzW6dKVXh2KdIrLSUNH
s.c.a.r.d.,sweet betrayal,1zOcZzA9aYpJVdH9PRlsWU
hel hath fury,end of humanity (demo),5KhhAzjd3oiEAH1D9JJdWr
tellus,failed to keep,100T9cBJxWlWWPv8YOTpl7
savage destruction,the dose that fried time demos,2RrLNsIBxmpYcKY8UuRe7H
bärenkult,triglav,37xSK8CLx5vmAGrMXcFBrh
everything decays,madness meets the world,5Th2Z3VtndSN2YHgbOheAq
neosentient,bomb cyclone,49FMrAN7D4VZst855xOIHh
red running river,big cars,3bDcHZzVP7FIwxp8r2cRez
роман беглов,прощание,3z9kabAnxzaCK5hZdfDnIO
kenosizm,the price you pay,1RRL1P3mnavkdoQzHuXiGf
of the cold,och vinden sade ep,4quKe4wddVeNW15tqYAjU7
dr. bichain,tarde o temprano,2vH3CTeiqGw2QIMfnnK1U3
ñu,refugiados,6nRZO0Sq1gPAO6PMEyzN6x
midjungards,chosen by the gods,5Ms3Vt9RKujDBr7Y5jIZM5
cadaverina,as luzes do templo,5kiftYVwnvO0syUYjKadHG
warhead,the children of war,0tyZzHqqXmD0rIAxSg6vaA
warhead,the world at war,4KpGw4bJH1wmMU1SQE8yBk
warhead,the longest day,06DDOTn7EkFejPAjyfjEWx
space lumberjacks,eaten by the liquor,0lF2AE3V4ozABTFempcs7O
venom breath,demons,6DluXjlZl4NNXbyfjT3xym
uxoricide,butchered,3STlcomrftMvmsqjMC2UZ8
nargathrond,so far away,5MR8AZgGKVThLnbAaGuzYI
helfroid,ash to ash,48C0gFjqGc8QwKFlngESO1
exit catacomb,the witch trials,2nUkuzlCWyuCWUJJq83ftK
stworz,sny zmory,4nVIrrW7iu6UI7M13ZOzB8
bloodrunner,bloodrunner,60ebKtm7KTOcnPHnxHtiMp
cavemaster,negros desígnios da eternidade,7grWUydM2zLnhlrd1nvC99
christoffear,nightmare,4TjhWv8vDMfloDSX1FMYMn
samael cooper,the ancient black metal files,063evisylBxKFl1MKGdJod
goat rider,evil x evil,24BcUw9BPAyaVx2N1vvEk2
deicide,bury the cross...with your christ,7mxAboVdvMjJkBvPJHV5Dk
spider god,the killing room,66drKbP4Np6ayZAaK2BKAK
emerald woods,distant stars,2YbTGOUuwm16tyt5Apow3K
zen disdain,premonition,5AGL61xmhbWkZIox0sGFey
dominum,hey living people,4wi6eyxWgyNpCjsglGyLHt
alpha warhead,code red,3uXRN6jj6Miey86XTPLaJe
alpha warhead,backfire,70DtNJ765Dkqz3e183INUz
anarchÿ,eyeclöser,07rJGODHFqszW1IyZklmLb
arcaneblaze,when dogs slay over,1SyEk0tErC7WkDGn34XSA8
caelumsun,triumph of motherland,3tMRV3UNjj7kceT7q7xL9a
eramaa,ukko laulaa,7sUUb6aXrZn4iZX6kgm1uS
exodia,into the mouth of hell,5rmOVh8sATdb2LX5dx1heB
ketamine wizard,the ketamine wizard returns,0sXqCpV9jeeD5l3SclQkQt
useeye,stoned mental,3hmBXG5JuN0wv40PGpr6Wl
corroding soul,hopeless,0bVkWKyBG93JoUNZN9MNFo
chaos sanctuary,instrumentality,3Qd9PyUHkOZFGFNzNP4xu6
nemus anima,hatred embodiment,6b1a4mcm5jdwG2m9IsTIjo
yxxan,misanthropic impulse,4NhYg5YiqjZNYcWXPgMpeV
sjotrollet,doomed in black,5CwXa0XrS3ioVDrrwihrDC
rahvn,devouring the frail,78PfikAuYCZkolYrEZiPrh
creatvre,shenron,4eXkTEV03Gsn5oBLpAbLnh
absolutus,entfremdung,4sa6rkk4o2cZePtDouN2YO
dauðaró,kyrrþey,6lHzsRIdfyZACLgF20b2R0
the ghoul,tales from the grave,5EvWybVPeNfn8OaMq7L3Dl
sacrilegius,hipocresia religiosa,3OJQnnrhM8XCNHkJdrFpfH
mortality,my last day on earth,0aGAdRdFtTfJyqedrlyhu3
insanity storm,caos destrucción,022EjUqIwB1Vu2yRqO2S2G
nietzsche,twilight of the idols,03e1WEUOLJcSJxo56L5roA
mauren mendo,pegasus fantasy,5y1ys9Q7eZZeioIeeTWwI1
aeterna tenebrae,anima mortalis ars perpetua,0ViZp9jbbcY3BS9S0H2ZLb
aamonblut,canções fúnebres,5QrP46vPv9VKqY1TkKXtKc
arken,social nightmares,23GeovqYt6ovUIPe6fe71u
pete rafael,elysian citadel,1x2urvhxGLilK74y4Bu547
event horizon x,beyond oblivion,3eGUjzjiRCreHrDtA7oUS6
oceancravis,the last story,3T92Qd4cPNnkynBAzCNJac
primal scourge,tomb of torment,5NHLNT8A5hDXDGqFSAuqHJ
infernal tyrant,fall,0vpo0Zeg975ASuN4R9Iaa3
steel arctus,midnight priest (acoustic version),3DRgh7Yk7a2JtYIvjNHRbm
sugar for lucy,toxic radical chants,5LCZKuIpUfXZ7MO4eL2ps5
wild rage,disconnection,1kYvyMojTgMpcFgSESswuM
cannibal abortion,inhaling the disease,0jiiPxpmNHOPfjgFAfCOyF
neo blaze,driving rain,4v4pWHu7S11qmmGbZgJ5sA
overdogma,between the hope and helpless,2YNXlva9GfkeCM2tQEBOJi
masmorra brutal,sussurro dos condenados,40Msmlq4jHlLEEDRtJYNrK
no kings allowed,getting along,3INR0BEmzRFEnblluUx3WF
sanguinem carpi,cries for release,0JtFrABznuzI5x7j1XT7Ev
deacon,"rest in torment, ignorant slaves",1S5KgJq3ZLAFVrWeW9TEI2
рслнднгтвзм,gothic castle delirium,29XBEJhYUXkTb2YDXM9XB9
ignominious,gorgy (fucked beyond fucked),7zZ5kRwtNx8LQJfXlIRY7Z
scabbed,ep 2,42ogvoJ5B5atX0QV4YccAc
stormrazor,blades of destiny,4IKFAFLKe6VvNbI8X6T3lu
behind of sorrow,elusive,2AE9AcjjztJbltKRG61lUb
malign entity,the beast cometh,29obExVsvTaDFu0VS9yFZP
porenut,korzenie bogów,3x1tMw75BAM0Lth5cZz00Z
xtheophilusx,semen est sanguis christianorum,6VwcAYMNJuao4VLLSl5eKC
mistwalker,war on christmas,70wfydcSZrCTIJJFzWUEJV
isvara,xxxii: transfiguration,7MjcyFw0wKudupgq8ssr0L
mortal kombat,bludni sin,7Bhhol2aqkgDal8KcFRRrl
irvikuvotus,arvet,5oY3KiK5jJMhUhGQDq0A9q
aknyhliss,damned to crawl on lacerated palms.,6EMEnIZ7wftknDLEl09clD
nekromanser,sworn by northern land,2SXBCPjU8i53Fr5hSZORnh
nemesis,eternally lost,56mD8ENLkGApLzCQuBq2cd
vermyapré,past mistakes,63iXdXPcv8MWnp2FVCYK98
crestfallen,lake of ten thousand flames,6aQHLrNXD15mQ2iV9bnQw7
fear the fate,fight the fear,1OExYPxsjYhsAtAnfHtpSn
jane razor & janesession,20: tempus fugit,6Qwnyo7EwSFozu2ALatvwS
terminal carnage,feast upon the river styx,4pJmnHASWdBCmebxn3Zb65
